ID,MKKCode,MKKParentCode,MKKTanim,MKKSeviye
9072,H4020104,H4020100,"Keçe, Şilte vb Malzemelerin Serilmesi",4
9073,H4020200,H4020000,Bitiş Katı Zemin Kaplama İşleri,3
9074,H4020201,H4020200,Doğaltaş Kaplama İşleri,4
9075,H4020202,H4020200,Seramik Kaplama İşleri,4
9076,H4020203,H4020200,Ahşap Zemin Kaplama İşleri,4
9077,H4020204,H4020200,Laminant Plastik Zemin Kaplama İşleri,4
9078,H4020205,H4020200,"PVC, Taraflex, Linolyum, Vinil vb Sentetik Zemin Kaplama İşleri",4
9079,H4020206,H4020200,Epoxy Kaplama Yapılması,4
9080,H4020207,H4020200,Cam Parke Kaplama Yapılması,4
9081,H4020208,H4020200,Halı Kaplama Yapılması,4
9082,H4020209,H4020200,Zemin Boya İşleri,4
9083,H4020300,H4020000,Diğer Zemin Kaplama İşleri,3
9084,H4020301,H4020300,Süpürgelik Yapılması İşleri,4
9085,H4020302,H4020300,Yükseltilmiş Döşeme Yapılması,4
9086,H4020303,H4020300,Zeminde Derz Profili ve Derz Dolgusu İşleri,4
9087,H4020304,H4020300,Eğik Çatı Kaplama İşleri (Taşıyıcı iskelet hariç),4
9088,H4030000,H4000000,Duvar Kaplama İşleri,2
9089,H4030100,H4030000,Alt Kat Duvar Kaplama İşleri,3
9090,H4030101,H4030100,"Harçlı Duvar Kaplaması İşleri (Sıva, Alçı Sıva, Saten Alçı vb)",4
9091,H4030102,H4030100,Duvar Su izolasyonu Yapılması İşleri,4
9092,H4030103,H4030100,Duvar Isı ve Ses İzolasyon Malzemesi Serilmesi İşleri,4
9093,H4030104,H4030100,"Duvarda keçe , Şilte, vb Malzemelerin Serilmesi",4
9094,H4030105,H4030100,Duvarda Alçıpan Kaplama Yapılması (Mekanik Taşımalı),4
9095,H4030200,H4030000,Bitiş Katı Duvar Kaplama İşleri,3
9096,H4030201,H4030200,Doğaltaş Kaplama İşleri (Mekanik Taşımalı ve Yapıştırma),4
9097,H4030202,H4030200,Seramik Kaplama İşleri,4
9098,H4030203,H4030200,Duvarda Mozaik Kaplama Yapılması,4
9099,H4030204,H4030200,Ahşap Duvar Kaplama İşleri (Mekanik Taşımalı ve Yapıştırma),4
9100,H4030205,H4030200,Duvar Kağıdı Yapılması,4
9101,H4030206,H4030200,Kumaş Kaplama Yapılmadı,4
9102,H4030207,H4030200,Boya Yapılması,4
9103,H4030300,H4030000,Diğer Duvar Kaplama İşleri,3
9104,H4030301,H4030300,Duvarda Derz Profili ve Derz Dolgusu İşleri,4
9105,H4030302,H4030300,Süs Kolonu vb Özel Kaplama İşleri,4
9106,H4040000,H4000000,Tavan Kaplama İşleri,2
9107,H4040100,H4040000,"Harçlı Tavan Kaplaması İşleri (Sıva, Alçı Sıva, Saten Alçı vb)",3
9108,H4040200,H4040000,Boya Yapılması,3
9109,H4040300,H4040000,Alçıpan Asma Tavan Yapılması,3
9110,H4040400,H4040000,Metal Asma Tavan Yapılması,3
9111,H4040500,H4040000,Ahşap Asma Tavan Yapılması,3
9112,H4040600,H4040000,Tavanda Kartonpiyer vb Süslemelerin Yapılması,3
9113,H4040700,H4040000,Tavanda Derz Profili ve Derz Dolgusu İşleri,3
9114,H4040800,H4040000,Diğer Tavan Kaplama İşleri,3
9115,H4050000,H4000000,Dış Cephe Kaplama İşleri,2
9116,H4050100,H4050000,Dış Cephe İskelesi Kurulması,3
9117,H4050200,H4050000,Dış Cephe Harçlı İmalatlar (Sıva vb),3
9118,H4050300,H4050000,Dış Cephe Su izolasyonu Yapılması,3
9119,H4050400,H4050000,Dış Cephe Isı izolasyonu Yapılması,3
9120,H4050500,H4050000,Kompozit Panel Giydirme Cephe Yapılması,3
9121,H4050600,H4050000,Aluminium Giydirme Cephe Yapılması (Pencere ve Kapılar Dahil),3
9122,H4050700,H4050000,Fibrebeton Giydirme Cephe Yapılması (Pencere ve Kapılar Dahil),3
9123,H4050800,H4050000,Ahşap Giydirme Cephe Yapılması,3
9124,H4060000,H4000000,Doğramalar,2
9125,H4060100,H4060000,Kapı ve Pencere Körkasası Yapılması,3
9126,H4060200,H4060000,Ahşap Kapı ve Pencerelerin Montajı,3
9127,H4060300,H4060000,Aluminium Kapı ve Pencerelerin Montajı,3
9128,H4060400,H4060000,PVC Kapı ve Pencerelerin Montajı,3
9129,H4060500,H4060000,Kompozit Kapı ve Pencerelerin Montajı,3
9130,H4060600,H4060000,Çelik Kapı ve Pencerelerin Montajı,3
9131,H4060700,H4060000,Yangın Kapıları Montajı,3
9132,H4060800,H4060000,Pencere Camı Montajı,3
9133,H4060900,H4060000,Kepenk Yapılması,3
9134,H4061000,H4060000,Kapı ve Pencere Aksesurları Montajı,3
9135,H4070000,H4000000,Aksesuarlar ve Diğer İnce İşler,2
9136,H4070100,H4070000,Korkuluk ve Küpeşte Yapılması,3
9137,H4070200,H4070000,Otopark Bariyerleri Montajı,3
9138,H4070300,H4070000,Sanatçı İşi Çalışmalar,3
9139,H4070400,H4070000,Mutfak Tezgahı Yapılması,3
9140,H4070500,H4070000,Yönlendirme tabelaları Montajı,3
9141,H4070600,H4070000,Ferforje İşleri,3
9142,H5000000,HK,Mekanik İşler,1
9143,H5010000,H5000000,Borulama İşleri,2
9144,H5010100,H5010000,HDPE Basınçlı Boru Döşenmesi,3
9145,H5010200,H5010000,HDPE Korruge Boru Döşenmesi,3
9146,H5010300,H5010000,PPRC Boru Döşenmesi,3
9147,H5010400,H5010000,PVC Boru Döşenmesi,3
9148,H5010500,H5010000,Beton Boru Döşenmesi,3
9149,H5010600,H5010000,GRP Boru Döşenmesi,3
9150,H5010700,H5010000,Çelik Boru Döşenmesi,3
9151,H5010800,H5010000,Bakır Boru Döşenmesi,3
9152,H5010900,H5010000,Dökme Demir Boru Döşenmesi,3
9153,H5011000,H5010000,Menfez ve Havalandırma Kanalı Döşenmesi,3
9154,H5011100,H5010000,Vana Montajı İşleri,3
9155,H5011200,H5010000,Diğer Boru Montajı İşleri,3
9156,H5020000,H5000000,Yangın Tesisatı Özel İşleri,2
9157,H5020100,H5020000,Sprinkler Montajı Yapılması,3
9158,H5020200,H5020000,Yangın Hidrantı Montajı Yapılması,3
9159,H5020300,H5020000,Yangın Dolabı Montajı Yapılması,3
9160,H5020400,H5020000,Yangın Otomasyonu,3
9161,H5020500,H5020000,Yangın Söndürücü Yerleştirilmesi,3
9162,H5020600,H5020000,Diğer Yangın Tesisatı İşleri,3
9163,H5030000,H5000000,İçme Suyu Tesisatı Özel İşleri,2
9164,H5030100,H5030000,Su Arıtma Cihazı Montajı,3
9165,H5030200,H5030000,Armatür Montajı Yapılması,3
9166,H5030300,H5030000,Su Isıtıcı Montajı Yapılması,3
9167,H5030400,H5030000,Basınç Tankı Montajı Yapılması,3
9168,H5030500,H5030000,Su Sayacı Montajı Yapılması,3
9169,H5030600,H5030000,Diğer İçme Suyu Tesisatı İşleri,3
9170,H5040000,H5000000,Atıksu ve Yağmur Suyu Tesisatı Özel İşleri,2
9171,H5040100,H5040000,Yağ Ayracı Montajı,3
9172,H5040200,H5040000,Vitrifiye Montajı,3
9173,H5040300,H5040000,Yer süzgeçleri Montajı,3
9174,H5050000,H5000000,Doğalgaz Tesisatı Özel İşleri,2
9175,H5050100,H5050000,Doğalgaz Sayacı Montajı,3
9176,H5050200,H5050000,Diğer Doğalgaz Tesisatı İşleri,3
9177,H5060000,H5000000,Kalorifer Tesisatı Özel İşleri,2
9178,H5060100,H5060000,Kalorifer Peteği Montajı,3
9179,H5060200,H5060000,Kalorifer Kazanı Montajı,3
9180,H5060300,H5060000,Yakıt Tankı Montajı,3
9181,H5070000,H5000000,Sulama Tesisatı Özel İşleri,2
9182,H5070100,H5070000,Sulama sprinkler montajı,3
9183,H5070200,H5070000,Selonoid vana montajı,3
9184,H5070300,H5070000,Sulama sistemi otomasyonu yapılması,3
9185,H6000000,HK,Elektrik İşleri,1
9186,H6010000,H6000000,Elektrik Borulama İşleri,2
9187,H6020000,H6000000,Elektrik Kablolama İşleri,2
9188,H6020100,H6020000,Orta ve Yüksek Gerilim Kablolama İşleri,3
9189,H6020200,H6020000,Alçak Gerilim Kablolama İşleri,3
9190,H6020300,H6020000,Zayıf Akım Kablolama İşleri,3
9191,H6030000,H6000000,Trafo Montajı İşleri,2
9192,H6040000,H6000000,Pano ve Şalt Malzemelerinin Montajı,2
